OSEBuildingID,SiteEUI(kBtu/sf)_2015,SourceEUI(kBtu/sf)_2015,GHGEmissions(MetricTonsCO2e),Electricity(kBtu)_2015,NaturalGas(kBtu)_2015,SteamUse(kBtu)_2015,PropertyGFATotal_2015,YearBuilt_2015,NumberofFloors_2015,BuildingType_2015,PrimaryPropertyType_2015,ENERGYSTARScore_2015,SiteEUI(kBtu/sf)_2016,SourceEUI(kBtu/sf)_2016,Electricity(kBtu)_2016,NaturalGas(kBtu)_2016,SteamUse(kBtu)_2016,PropertyGFATotal_2016,YearBuilt_2016,NumberofFloors_2016,BuildingType_2016,PrimaryPropertyType_2016,ENERGYSTARScore_2016,Δ_SiteEUI,Δ_SiteEUI_pct,Δ_SourceEUI,Δ_SourceEUI_pct,Δ_Electricity,Δ_Electricity_pct,Δ_NaturalGas,Δ_NaturalGas_pct,Δ_ENERGYSTARScore,Δ_ENERGYSTARScore_pct,Trajectory_Class,Energy_Efficiency_2015,Electrification_Rate_2015,BuildingAge_2015,SizeCategory,Has_ENERGY_STAR,Age_Size_Interaction,EUI_ESTAR_Interaction,Electricity_per_sqft,NaturalGas_per_sqft,Target_2016_EUI,Target_Delta_EUI,Target_Worsened,Cluster,Annual_EUI_Change_Rate,Projected_EUI_2020,Projected_EUI_2025,Projected_EUI_2030,Projected_EUI_2040,Risk_Score,BEPS_Target_2030,BEPS_Target_2040,BEPS_Compliant_2030,BEPS_Compliant_2040
15,101.1,200.8,576.63,6337531.0,4759044.0,3623542.0,153163,1969,11.0,NonResidential,Hotel,48.0,119.5999985,228.1999969,6187627.0,4591850.0,5237165.5,153163,1969,11,NonResidential,Hotel,30.0,18.499998500000004,18.29871266073195,27.39999689999999,13.645416782868521,-149904.0,-2.365337542333126,-167194.0,-3.5131845807687427,-18.0,-37.5,Declining,0.5034860557768924,0.5711249642344597,46,Very Large,1,549.2061679995662,4852.799999999999,41.37768912857544,31.071760150950293,119.5999985,18.499998500000004,1,1.0,0.18298712660731953,234.23470857699022,542.6894035820726,1257.3362442716857,6749.189480770764,18.29871266073195,60,50,0,0
16,82.3,207.2,723.4,19058722.0,3232700.0,5426396.0,333176,1998,25.0,NonResidential,Hotel,32.0,80.0,199.0,18083049.0,2858700.0,5999360.5,333176,1998,25,NonResidential,Hotel,36.0,-2.299999999999997,-2.794653705953824,-8.199999999999989,-3.9575289575289525,-975673.0,-5.119299184908622,-374000.0,-11.569276456213071,4.0,12.5,Stable,0.3972007722007722,0.854980090547835,17,Mega,1,216.1792957077815,2633.6,57.20316589430211,9.702679664801787,80.0,-2.299999999999997,0,0.0,-0.02794653705953824,71.42505674864748,61.987104879070635,53.796263471105505,40.518525223396516,0.0,60,50,0,0
17,104.7,166.5,334.87,1615057.0,3205074.0,1987163.0,65009,1928,9.0,NonResidential,Hotel,39.0,101.5,153.6000061,1343000.0,3596705.0,1656352.5,65009,1928,9,NonResidential,Hotel,48.0,-3.200000000000003,-3.056351480420251,-12.899993899999998,-7.747744084084084,-272057.0,-16.845040144093986,391631.0,12.219093849315179,9.0,23.076923076923077,Stable,0.6288288288288288,0.33506495985275087,87,Large,1,964.1597853382707,4083.3,24.843590887415587,49.302004337860915,101.5,-3.200000000000003,0,1.0,-0.03056351480420251,89.64859437541061,76.76094052996086,65.72598301285078,48.18708952552681,0.0,60,50,0,0
18,77.2,183.2,675.34,14090906.0,3990280.0,4731090.0,315952,1980,33.0,NonResidential,Hotel,56.0,75.5,179.8999939,13904183.0,4083440.0,4337738.5,315952,1980,33,NonResidential,Hotel,58.0,-1.7000000000000028,-2.2020725388601075,-3.3000060999999903,-1.8013133733624402,-186723.0,-1.325131258415889,93160.0,2.3346732560121093,2.0,3.571428571428571,Stable,0.4213973799126638,0.7793131490379005,35,Mega,1,443.21720615654334,4323.2,44.598249101129284,12.629386742289968,75.5,-1.7000000000000028,0,0.0,-0.022020725388601073,69.06619918600913,61.78937655442343,55.27924078610273,44.24442777947076,0.0,60,50,0,0
19,166.1,317.4,486.25,4089407.0,2218425.0,4403788.0,67390,1922,11.0,NonResidential,Hotel,14.0,159.5,297.3999939,3832369.0,2046793.0,4870847.5,92190,1922,11,NonResidential,Hotel,35.0,-6.599999999999994,-3.973509933774831,-20.00000609999995,-6.301199149338359,-257038.0,-6.285458991976098,-171632.0,-7.736660017805424,21.0,150.0,Stable,0.523314429741651,0.6483062643393166,93,Large,1,1033.9988083849155,2325.4,60.682697729633475,32.91920166196765,159.5,-6.599999999999994,0,1.0,-0.03973509933774831,135.62036446456614,110.73379444612735,90.41395280751438,60.27621953792388,0.0,60,50,0,0
21,46.0,140.8,166.84,16146718.0,0.0,703184.0,412000,2004,11.0,Nonresidential COS,Other,,50.79999924,155.6000061,17851297.0,0.0,737559.5,412000,2004,11,Nonresidential COS,Other,,4.799999239999998,10.434780956521736,14.80000609999999,10.511367968749992,1704579.0,10.556814084447378,0.0,,,,Declining,0.3267045454545454,1.0,11,Mega,0,142.21659161064503,0.0,39.191063106796115,0.0,50.79999924,4.799999239999998,1,2.0,0.10434780956521736,75.5591740981508,124.11279979118834,203.86653580937684,550.0531857180938,10.434780956521736,60,50,1,0
22,79.5,173.7,411.09,5288219.0,654260.0,4398022.0,103911,1930,6.0,NonResidential,Other,,76.59999847,157.3999939,4453868.0,910180.0,4592347.5,103911,1930,6,NonResidential,Other,,-2.9000015299999973,-3.6478006666666634,-16.30000609999999,-9.383998906160041,-834351.0,-15.77754249587621,255920.0,39.115947788341025,,,Stable,0.457685664939551,0.8899011675093845,85,Very Large,0,981.8604716174052,0.0,50.89181126156037,6.296349760853038,76.59999847,-2.9000015299999973,0,2.0,-0.03647800666666663,66.0199650620327,54.82560738103167,45.52936709182935,31.398430245075474,0.0,60,50,0,0
23,95.5,231.9,755.12,21932264.0,11339166.0,0.0,416281,1983,28.0,NonResidential,Hotel,30.0,96.30000305,228.5,21225277.0,12331475.0,0.0,416281,1983,28,NonResidential,Hotel,31.0,0.8000030500000008,0.8376995287958124,-3.4000000000000057,-1.4661492022423483,-706987.0,-3.2235021427792407,992309.0,8.751163886303456,1.0,3.3333333333333335,Stable,0.4118154376886589,0.6591921056594201,32,Mega,1,414.05178221436137,2865.0,52.68619994667064,27.239211013714293,96.30000305,0.8000030500000008,1,0.0,0.008376995287958124,99.56759521768204,103.80843997311186,108.22991341802981,117.64584785707478,0.8376995287958124,60,50,0,0
24,130.2,278.7,265.5,3773975.0,1952583.0,1755365.0,57452,1907,5.0,NonResidential,Mixed Use Property,,132.3999939,280.7000122,3764791.0,2065091.0,1776201.875,57452,1907,5,NonResidential,Mixed Use Property,,2.1999939000000097,1.6897034562212057,2.0000122000000147,0.7176218873340562,-9184.0,-0.24335084360654216,112508.0,5.762008580429103,,,Stable,0.4671689989235737,0.6590302586649781,108,Large,0,1183.5420301333443,0.0,65.68918401448165,33.98633641996798,132.3999939,2.1999939000000097,1,1.0,0.016897034562212056,141.5780376734689,153.95038979623803,167.40394843638262,197.94088414140126,1.6897034562212057,60,50,0,0
25,75.2,119.5,411.22,1790665.0,2849024.0,3205497.0,104352,1916,10.0,NonResidential,Hotel,83.0,97.30000305,225.5,5908370.0,815376.0,3430862.0,104352,1916,10,NonResidential,Hotel,39.0,22.100003049999998,29.388301928191485,106.0,88.70292887029288,4117705.0,229.95395565334667,-2033648.0,-71.3805148710576,-44.0,-53.01204819277109,Declining,0.6292887029288703,0.3859450493341256,99,Very Large,1,1143.9979314878212,6241.6,17.159853189205766,27.302054584483287,97.30000305,22.100003049999998,1,1.0,0.29388301928191485,272.7048783785247,988.9355145139091,3586.2704682143535,47162.104131244676,29.388301928191485,60,50,0,0
